Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
54944,N-EGS,,Magisterský navazující,prezenční,10. 12. 2021,,ne,lagos,Ostatní,20,20 - Nepřijat -- PZ,,ne,211855,Environmental Geosciences,muž
54649,N-LPA,,Magisterský navazující,prezenční,05. 12. 2021,16500,ano,"Rouiba , Algiers, Algeria",Alžírská lidová demokratická republika,10,10 - Přijat,,ne,211842,Landscape Planning,žena
57223,B-BEE,,Bakalářský,prezenční,08. 01. 2022,,ne,Durbawa,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213142,Environmental Engineering,muž
52848,N-ENVA,,Magisterský navazující,prezenční,23. 10. 2021,16500,ano,erbil,Irácká republika,10,10 - Přijat,,ne,212115,Environmental Modelling,muž
55776,N-ENVA,,Magisterský navazující,prezenční,22. 12. 2021,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,211861,Environmental Modelling,muž
70461,B-BEDS,,Bakalářský,prezenční,24. 03. 2022,,ne,Tashkent,Republika Uzbekistán,20,20 - Nepřijat -- PZ,,ne,237282,Environmental Data Science,muž
83627,N-NCO,,Magisterský navazující,prezenční,09. 04. 2022,16500,ano,Quetta,Pákistánská islámská republika,10,10 - Přijat,,ne,237091,Nature Conservation,muž
58683,N-EGS,,Magisterský navazující,prezenční,17. 01. 2022,,ne,Islamic center colony University of the Punjab Lahore Pakistan,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,213115,Environmental Geosciences,muž
16056,N-EGS,,Magisterský navazující,prezenční,22. 02. 2022,,ne,Islamic center colony University of the Punjab Lahore Pakistan,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,232375,Environmental Geosciences,muž
52688,B-BEE,,Bakalářský,prezenční,12. 10. 2021,,ne,Canal view lahore,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,210755,Environmental Engineering,muž
53223,B-BEDS,,Bakalářský,prezenční,12. 11. 2021,,ne,Bauchi State,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,210756,Environmental Data Science,muž
53303,N-EGS,,Magisterský navazující,prezenční,14. 11. 2021,,ne,Kaduna,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211856,Environmental Geosciences,muž
34358,B-BEDS,,Bakalářský,prezenční,28. 02. 2022,,ne,Cape Coast,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,237283,Environmental Data Science,muž
57817,N-EGS,,Magisterský navazující,prezenční,11. 01. 2022,,ne,"Okuru Ama, Port Harcourt.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213835,Environmental Geosciences,muž
84412,N-EGS,,Magisterský navazující,prezenční,16. 04. 2022,,ne,"Okuru Ama, Port Harcourt.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,237301,Environmental Geosciences,muž
52606,N-EGS,,Magisterský navazující,prezenční,07. 10. 2021,,ne,Madina,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,211485,Environmental Geosciences,muž
65905,B-BEDS,,Bakalářský,prezenční,21. 03. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,230608,Environmental Data Science,muž
83760,B-BEE,,Bakalářský,prezenční,10. 04. 2022,,ne,Doha,Stát Katar,20,20 - Nepřijat -- PZ,,ne,237066,Environmental Engineering,muž
52472,N-LPA,,Magisterský navazující,prezenční,01. 10. 2021,,ne,No.6 dongli district,Čínská lidová republika,20,20 - Nepřijat -- PZ,,ne,210775,Landscape Planning,muž
84474,N-EGS,,Magisterský navazující,prezenční,16. 04. 2022,20000,ano,Lagos State,Nigérijská federativní republika,10,10 - Přijat,,ne,237302,Environmental Geosciences,muž
52748,N-EGS,,Magisterský navazující,prezenční,16. 10. 2021,20000,ano,"Jos South, Plateau State, Nigeria",Nigérijská federativní republika,10,10 - Přijat,,ne,213995,Environmental Geosciences,žena
52744,B-BEE,,Bakalářský,prezenční,15. 10. 2021,,ne,Sango otta ogun state,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211814,Environmental Engineering,muž
42951,B-BEE,,Bakalářský,prezenční,02. 03. 2022,,ne,Sango otta ogun state,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,230609,Environmental Engineering,muž
72588,B-BEDS,,Bakalářský,prezenční,27. 03. 2022,,ne,Ibadan,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,230610,Environmental Data Science,žena
54515,B-BEDS,,Bakalářský,prezenční,03. 12. 2021,,ne,Ifako Ijaiye,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211815,Environmental Data Science,muž
52781,B-BEE,,Bakalářský,prezenční,19. 10. 2021,,ne,Ikorodu Lagos State,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,210757,Environmental Engineering,muž
55193,N-EGS,,Magisterský navazující,prezenční,13. 12. 2021,,ne,"Mamprobi, Accra",Ghanská republika,20,20 - Nepřijat -- PZ,,ne,213876,Environmental Geosciences,muž
71514,N-LPA,,Magisterský navazující,prezenční,25. 03. 2022,,ne,Techiman,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,238508,Landscape Planning,muž
55670,B-BEE,,Bakalářský,prezenční,20. 12. 2021,10000,ano,Dhaka,Bangladéšská lidová republika,10,10 - Přijat,,ne,211816,Environmental Engineering,žena
52902,N-EGS,,Magisterský navazující,prezenční,27. 10. 2021,,ne,buea,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,211486,Environmental Geosciences,muž
74663,B-BEDS,,Bakalářský,prezenční,28. 03. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,237284,Environmental Data Science,muž
66547,N-ENVA,,Magisterský navazující,prezenční,21. 03. 2022,,ne,Peshawar,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,237207,Environmental Modelling,muž
55644,N-NCO,,Magisterský navazující,prezenční,20. 12. 2021,,ne,"27 Amidu jimoh off governors road ikotun Lagos state, Nigeria.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,212596,Nature Conservation,muž
56649,N-LPA,,Magisterský navazující,prezenční,04. 01. 2022,,ne,Accra,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,212132,Landscape Planning,muž
53715,B-BEDS,,Bakalářský,prezenční,21. 11. 2021,,ne,Uralsk,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,210758,Environmental Data Science,žena
84425,B-BEDS,,Bakalářský,prezenční,16. 04. 2022,,ne,Uralsk,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,238510,Environmental Data Science,žena
