Spec. symbol,Program zkratka,Obor zkratka,Typ studia,Forma,Datum a čas zal. přihl.,Datum podání,Spr. poplatek - vypočteno,Spr. poplatek - zaplaceno,Zaplaceno,Datum úhrady,Dadtum zkompl. Zaplaceno,Datum zkompl. Adresy,Kompl. adresy,Datum zkompl. Os. údaje,Kompl. přihlášky,Datum zkompl. celé přihl.,Kompl. údajů přihl.,Datum zkompl. Údaje o přihl.,KA - obec,KA - stát
95853,N-ENVA,,Magisterský navazující,prezenční,04. 10. 2022 00:04,04.10.2022,750,750,ano,06.10.2022,06. 10. 2022 12:06:59,04. 10. 2022 00:38:52,ano,04. 10. 2022 00:21:35,ano,06. 10. 2022 12:07:00,ano,04. 10. 2022 00:08:06,Aba,Ostatní
96113,N-NCO,,Magisterský navazující,prezenční,14. 10. 2022 11:42,,750,0,ne,,,,ne,,ne,,ano,14. 10. 2022 11:45:39,,
96520,B-BEDS,,Bakalářský,prezenční,31. 10. 2022 16:24,31.10.2022,750,0,ne,,,28. 07. 2022 14:42:01,ano,31. 10. 2022 16:24:18,ne,,ano,31. 10. 2022 16:24:19,Tbilisi,Gruzie
95960,N-EGS,,Magisterský navazující,prezenční,07. 10. 2022 15:48,,750,0,ne,,,07. 10. 2022 16:33:41,ano,07. 10. 2022 16:24:18,ne,,ano,07. 10. 2022 15:51:28,Ipole-Otukpa,Nigérijská federativní republika
96645,N-ENVA,,Magisterský navazující,prezenční,06. 11. 2022 07:24,,750,0,ne,,,,ne,,ne,,ano,06. 11. 2022 07:31:13,,
96666,B-BEDS,,Bakalářský,prezenční,07. 11. 2022 01:11,07.11.2022,750,0,ne,,,07. 11. 2022 01:33:18,ano,07. 11. 2022 01:29:47,ne,,ano,07. 11. 2022 01:19:17,BLIDA,Alžírská lidová demokratická republika
96516,N-LPA,,Magisterský navazující,prezenční,31. 10. 2022 12:04,07.11.2022,750,0,ne,,,03. 11. 2022 14:25:38,ano,03. 11. 2022 14:22:11,ne,,ano,31. 10. 2022 12:10:30,Kaduna,Nigérijská federativní republika
95978,B-BEE,,Bakalářský,prezenční,08. 10. 2022 10:56,,750,0,ne,,,08. 10. 2022 12:04:36,ano,08. 10. 2022 11:37:32,ne,,ano,08. 10. 2022 10:57:39,Lagos,Nigérijská federativní republika
96031,B-BEE,,Bakalářský,prezenční,10. 10. 2022 23:32,,750,0,ne,,,,ne,,ne,,ne,,,
96155,N-EGS,,Magisterský navazující,prezenční,16. 10. 2022 15:57,,750,0,ne,,,,ne,,ne,,ne,,,
